datetime,tempmax,tempmin,conditions,precip
2025-05-03,18.5,9.6,Partially cloudy,0.0
2025-05-04,11.8,7.7,Partially cloudy,0.0
2025-05-05,12.4,6.5,"Rain, Partially cloudy",0.199
2025-05-06,11.7,6.9,Partially cloudy,0.0
2025-05-07,11.7,8.9,"Rain, Overcast",0.594
2025-05-08,12.9,8.9,Overcast,0.0
2025-05-09,19.8,9.4,Partially cloudy,0.0
2025-05-10,22.1,11.3,Partially cloudy,0.0
2025-05-11,24.3,13.8,"Rain, Partially cloudy",1.589
2025-05-12,17.8,12.6,"Rain, Partially cloudy",0.015
2025-05-13,19.0,13.8,"Rain, Partially cloudy",0.005
2025-05-14,20.0,10.2,"Rain, Partially cloudy",0.001
2025-05-15,12.6,9.4,Overcast,0.0
2025-05-16,14.8,8.8,Partially cloudy,0.0
2025-05-17,15.3,10.6,Overcast,0.0
2025-05-18,13.6,8.8,Overcast,0.0
2025-05-19,18.1,8.9,Overcast,0.0
2025-05-20,19.3,10.9,Partially cloudy,0.0
2025-05-21,14.1,9.4,"Rain, Overcast",0.204
2025-05-22,14.6,9.0,Partially cloudy,0.0
2025-05-23,13.9,6.6,Partially cloudy,0.0
2025-05-24,13.6,11.4,"Rain, Overcast",4.398
2025-05-25,15.2,12.9,"Rain, Overcast",1.196
2025-05-26,14.9,12.4,Partially cloudy,0.0
2025-05-27,14.2,12.9,"Rain, Overcast",5.234
2025-05-28,15.9,13.2,"Rain, Partially cloudy",0.021
2025-05-29,15.6,12.9,"Rain, Overcast",0.992
2025-05-30,16.9,12.7,Overcast,0.0
2025-05-31,17.9,12.6,"Rain, Partially cloudy",0.198
2025-06-01,15.4,12.7,Overcast,0.0
