description,start_date,end_date,zones
Vacances d'Été,2025-07-04 22:00:00+00:00,2025-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2025-07-04 22:00:00+00:00,2025-08-28 22:00:00+00:00,Zone B
Vacances d'Été,2025-07-04 22:00:00+00:00,2025-08-28 22:00:00+00:00,Zone B
Vacances d'Été,2025-07-04 22:00:00+00:00,2025-08-28 22:00:00+00:00,Zone B
Vacances d'Été,2025-07-04 22:00:00+00:00,2025-08-28 22:00:00+00:00,Zone B
Vacances de la Toussaint,2025-10-17 22:00:00+00:00,2025-11-02 23:00:00+00:00,Zone B
Vacances de Noël,2025-12-19 23:00:00+00:00,2026-01-04 23:00:00+00:00,Zone B
Vacances de Noël,2025-12-19 23:00:00+00:00,2026-01-04 23:00:00+00:00,Zone B
Vacances d'Hiver,2026-02-13 23:00:00+00:00,2026-03-01 23:00:00+00:00,Zone B
Vacances d'Hiver,2026-02-13 23:00:00+00:00,2026-03-01 23:00:00+00:00,Zone B
Vacances d'Hiver,2026-02-13 23:00:00+00:00,2026-03-01 23:00:00+00:00,Zone B
Vacances d'Hiver,2026-02-13 23:00:00+00:00,2026-03-01 23:00:00+00:00,Zone B
Pont de l'Ascension,2026-05-13 22:00:00+00:00,2026-05-17 22:00:00+00:00,Zone B
Pont de l'Ascension,2026-05-13 22:00:00+00:00,2026-05-17 22:00:00+00:00,Zone B
Pont de l'Ascension,2026-05-13 22:00:00+00:00,2026-05-17 22:00:00+00:00,Zone B
Pont de l'Ascension,2026-05-13 22:00:00+00:00,2026-05-17 22:00:00+00:00,Zone B
Pont de l'Ascension,2026-05-13 22:00:00+00:00,2026-05-17 22:00:00+00:00,Zone B
Pont de l'Ascension,2026-05-13 22:00:00+00:00,2026-05-17 22:00:00+00:00,Zone B
Début des Vacances d'Été,2026-07-03 22:00:00+00:00,2026-07-03 22:00:00+00:00,Zone B
Début des Vacances d'Été,2026-07-03 22:00:00+00:00,2026-07-03 22:00:00+00:00,Zone B
Vacances d'Hiver,2018-02-16 23:00:00+00:00,2018-03-04 23:00:00+00:00,Zone C
Vacances de Printemps,2018-04-13 22:00:00+00:00,2018-04-29 22:00:00+00:00,Zone C
Vacances de Printemps,2018-04-13 22:00:00+00:00,2018-04-29 22:00:00+00:00,Zone C
Vacances d'Été,2018-07-06 22:00:00+00:00,2018-09-02 22:00:00+00:00,Zone C
Vacances d'Été,2018-07-06 22:00:00+00:00,2018-09-02 22:00:00+00:00,Zone C
Vacances d'Été,2018-07-06 22:00:00+00:00,2018-09-02 22:00:00+00:00,Zone C
Vacances d'Été,2018-07-06 22:00:00+00:00,2018-08-30 22:00:00+00:00,Zone C
Vacances d'Été,2018-07-06 22:00:00+00:00,2018-08-30 22:00:00+00:00,Zone C
Vacances d'Hiver,2019-02-22 23:00:00+00:00,2019-03-10 23:00:00+00:00,Zone C
Pont de l'Ascension,2019-05-28 22:00:00+00:00,2019-06-02 22:00:00+00:00,Zone C
Vacances de la Toussaint,2019-10-18 22:00:00+00:00,2019-11-03 23:00:00+00:00,Zone C
Vacances d'Hiver,2020-02-07 23:00:00+00:00,2020-02-23 23:00:00+00:00,Zone C
Vacances de Printemps,2020-04-03 22:00:00+00:00,2020-04-19 22:00:00+00:00,Zone C
Vacances d'Été,2020-07-03 22:00:00+00:00,2020-08-30 22:00:00+00:00,Zone C
Vacances de la Toussaint,2020-10-16 22:00:00+00:00,2020-11-01 23:00:00+00:00,Zone C
Vacances de la Toussaint,2020-10-16 22:00:00+00:00,2020-11-01 23:00:00+00:00,Zone C
Vacances de Noël,2020-12-18 23:00:00+00:00,2021-01-03 23:00:00+00:00,Zone C
Vacances d'Hiver,2021-02-12 23:00:00+00:00,2021-02-28 23:00:00+00:00,Zone C
Pont de l'Ascension,2021-05-12 22:00:00+00:00,2021-05-16 22:00:00+00:00,Zone C
Vacances d'Été,2021-07-05 22:00:00+00:00,2021-09-01 22:00:00+00:00,Zone C
Vacances de la Toussaint,2021-10-22 22:00:00+00:00,2021-11-07 23:00:00+00:00,Zone C
Vacances de Noël,2021-12-17 23:00:00+00:00,2022-01-02 23:00:00+00:00,Zone C
Vacances de Noël,2021-12-17 23:00:00+00:00,2022-01-02 23:00:00+00:00,Zone C
Vacances d'Hiver,2022-02-18 23:00:00+00:00,2022-03-06 23:00:00+00:00,Zone C
Vacances d'Hiver,2022-02-18 23:00:00+00:00,2022-03-06 23:00:00+00:00,Zone C
Pont de l'Ascension,2022-05-25 22:00:00+00:00,2022-05-29 22:00:00+00:00,Zone C
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-31 22:00:00+00:00,Zone C
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-30 22:00:00+00:00,Zone C
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-30 22:00:00+00:00,Zone C
Vacances de la Toussaint,2022-10-21 22:00:00+00:00,2022-11-06 23:00:00+00:00,Zone C
